asin,sentiment
B0BSLVLS4P,Positive
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Neutral
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Neutral
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Positive
B0BSLMQFXJ,Positive
B0CCLPBBVL,Positive
B0CCLPBBVL,Positive
B0CCLPBBVL,Positive
B09C68QGXF,Positive
B09C68QGXF,Negative
B08HM73VVF,Positive
B08HM73VVF,Positive
B08HM73VVF,Positive
B08HM73VVF,Positive
B08HM73VVF,Positive
B08HM73VVF,Negative
B08HM73VVF,Neutral
B08HM73VVF,Positive
B0877C8V9G,Positive
B0877C8V9G,Positive
B0877C8V9G,Positive
B0877C8V9G,Positive
B0877C8V9G,Negative
B0877C8V9G,Positive
B0877C8V9G,Positive
B0877C8V9G,Positive
B0D4R89CH8,Positive
B0D4R89CH8,Positive
B0D4R89CH8,Positive
B0D4R89CH8,Neutral
B0D4R89CH8,Positive
B0CV62HBRG,Positive
B0CV62HBRG,Neutral
B0CV62HBRG,Positive
B0CV62HBRG,Positive
B0CV62HBRG,Negative
B00MQK0PHA,Neutral
B00MQK0PHA,Positive
B00MQK0PHA,Positive
B00MQK0PHA,Positive
B09S3Y6W9D,Positive
B09S3Y6W9D,Positive
B09S3Y6W9D,Positive
B09S3Y6W9D,Positive
B08QZFB5F1,Neutral
B08QZFB5F1,Positive
B08QZFB5F1,Negative
B08QZFB5F1,Positive
B08QZFB5F1,Neutral
B08QZFB5F1,Positive
B08QZFB5F1,Positive
B01LZYRHAP,Positive
B01LZYRHAP,Neutral
B01LZYRHAP,Neutral
B01LZYRHAP,Negative
B01LZYRHAP,Neutral
B09JP9B1DX,Neutral
B09JP9B1DX,Neutral
B0CVXXVHGS,Positive
